Model	P0	P1	P2
Resnet-50	72.45475113122171	44.39236692333445 (38.73090966396931)	28.041543026706233 (61.29785474534221)
DeiT	76.34332579185521	52.05892199531302 (31.809465391581092)	42.13649851632047 (44.80657204900567)
Swin-B	78.71889140271493	54.18480080348176 (31.16671254136465)	43.175074183976264 (45.152842710781364)
ConvNext	77.42505656108597	54.352192835621025 (29.800254272027775)	43.02670623145401 (44.42793051431965)
Resnet-50 (Syn.)	65.36340497737557	40.74322062269836 (37.66661844375926)	29.080118694362017 (55.51009206997768)
ViT-B (Syn.)	66.97539592760181	44.29193170405089 (33.868354056571754)	33.67952522255193 (49.71358548001958)
ViT-B	74.61821266968326	50.150652828925345 (32.79033223305666)	37.0919881305638 (50.29097213201683)
DINOv2	75.74236425339366	52.34348844994978 (30.892719066919653)	41.246290801186944 (45.543961813498726)
MAE	69.1954185520362	41.34583193839973 (40.24773199788231)	32.195845697329375 (53.4711309346044)
MOCOv3	74.27177601809954	46.26715768329427 (37.70559940290203)	33.38278931750742 (55.05319637250595)
SimCLR (Syn.)	76.4493778280543	53.54871108135253 (29.955334362836382)	44.65875370919881 (41.583888609737535)
CLIP	80.19654977375566	61.56678942082357 (23.23012698861602)	50.59347181008902 (36.91315654748311)
CLIP (Syn.)	75.83427601809954	54.20154000669568 (28.526330239166164)	41.246290801186944 (45.60996297855788)
